state,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07
ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,18.0,16.0,14.0,13.0,10.0,12.0,13.0,13.0,13.0,14.0,16.0,13.0,15.0,17.0,17.0,23.0,18.0,17.0,17.0,18.0,23.0,25.0,28.0,30.0,27.0,32.0,31.0,31.0,31.0,32.0,35.0,33.0,34.0,29.0,34.0,38.0,37.0,38.0,35.0,33.0,30.0,32.0,32.0,38.0,39.0,39.0,39.0,40.0,41.0,40.0,40.0,35.0,36.0,34.0,36.0,35.0,34.0,34.0,32.0,30.0,29.0,28.0
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,211.0,190.0,181.0,167.0
NH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,70.0,70.0,74.0,86.0,85.0,79.0,78.0,94.0,91.0,92.0,89.0,95.0,101.0,99.0,106.0,107.0,112.0,103.0,103.0,103.0,111.0,115.0,113.0,113.0,112.0,107.0,113.0,117.0,121.0,126.0,115.0,110.0,115.0,114.0,109.0,105.0,103.0,97.0,93.0,93.0,92.0,91.0,91.0,105.0,110.0,105.0,107.0,96.0,98.0,97.0,88.0,86.0,84.0,84.0
NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,3016.0,4000.0,4000.0,6390.0,7017.0,7026.0,7363.0,7570.0,7618.0,7604.0,7781.0,8185.0,8270.0,8224.0,8011.0,7718.0,7494.0,6986.0,7594.0,7210.0,7240.0,6847.0,6722.0,6573.0,6407.0,6476.0,6289.0,6137.0,5972.0,5713.0,5317.0,5287.0,5328.0,5221.0,4996.0,4605.0,4628.0,4308.0,4195.0,4328.0,4226.0,3958.0,3823.0,3564.0,3411.0,3509.0,3481.0,3405.0,3208.0,3049.0,2974.0,2857.0,2755.0,2723.0,2761.0,2797.0,2707.0,2626.0,2497.0,2466.0,2370.0,2250.0,1982.0,1933.0,1933.0,1882.0
NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,22.0,22.0,24.0,31.0,31.0,41.0,37.0,45.0,48.0,51.0,59.0,73.0,75.0,78.0,80.0,87.0,87.0,90.0,90.0,96.0,92.0,103.0,116.0,119.0,121.0,123.0,152.0,152.0,148.0,155.0,157.0,163.0,172.0,159.0,168.0,164.0,181.0,178.0,193.0,197.0,201.0,198.0,194.0,207.0,199.0,200.0,209.0,223.0,208.0,211.0,213.0,204.0,206.0,205.0,206.0,208.0,213.0,216.0,211.0,210.0,196.0,193.0,189.0,182.0,191.0,182.0,170.0,170.0,175.0,176.0
NV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,282.0,282.0,282.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,482.0,522.0,522.0,515.0,425.0,423.0,423.0,423.0,405.0,437.0,410.0,404.0,402.0,373.0,380.0,390.0,435.0,439.0,371.0,371.0,336.0,361.0,365.0,372.0,364.0,341.0,348.0,348.0
NY,325.0,416.0,617.0,1042.0,1436.0,2043.0,2629.0,3343.0,4079.0,5327.0,6481.0,7328.0,8503.0,9517.0,10929.0,12226.0,13383.0,14810.0,15905.0,16479.0,16837.0,17493.0,18079.0,18279.0,18569.0,18654.0,18707.0,18825.0,18697.0,18535.0,17735.0,17116.0,16967.0,16213.0,16103.0,16044.0,15599.0,15021.0,14258.0,13524.0,12839.0,12819.0,12645.0,12159.0,11598.0,10993.0,10350.0,9786.0,9647.0,9603.0,9179.0,8665.0,8196.0,7776.0,7262.0,7226.0,7063.0,6946.0,6706.0,6394.0,6220.0,5897.0,5840.0,5818.0,5570.0,5187.0,4844.0,4844.0,4393.0,4348.0,4265.0,4208.0,4010.0,3781.0,3619.0,3436.0,3331.0,3121.0,2978.0,2849.0,2728.0,2603.0,2427.0
OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,931.0,1078.0,1069.0,1045.0,1057.0,1060.0,929.0,962.0,1011.0,1032.0,924.0,953.0,944.0,866.0,914.0,912.0,913.0,902.0,892.0,879.0,858.0,864.0,872.0,937.0,885.0,812.0,833.0,806.0,779.0,761.0,697.0,704.0,693.0,671.0,628.0,603.0
OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,182.0,171.0,0.0,0.0,161.0,186.0,188.0,188.0,186.0,383.0,383.0,383.0,194.0,194.0,236.0,325.0,307.0,307.0,307.0,346.0,298.0,284.0,310.0,306.0,306.0,306.0,288.0,283.0,291.0,255.0,236.0,236.0,236.0,236.0,230.0,223.0,228.0,177.0,177.0,177.0,190.0,218.0,217.0,215.0,180.0,180.0,76.0,167.0,209.0,201.0,190.0,174.0,174.0,0.0,174.0,156.0,181.0,160.0,154.0,154.0,154.0,124.0,136.0,148.0,164.0,158.0,158.0
OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,107.0,107.0,132.0,132.0,132.0,134.0,188.0,0.0,0.0,0.0,0.0,156.0,146.0,146.0,140.0,295.0,321.0,311.0,305.0,307.0,301.0,290.0,290.0,303.0,297.0,302.0,304.0,258.0,261.0,249.0,249.0,249.0,227.0,243.0,208.0,209.0,205.0,207.0,219.0,191.0,171.0,159.0,139.0,164.0,164.0,165.0,162.0,163.0,161.0,153.0,156.0,137.0,137.0,152.0,140.0,146.0,102.0,117.0,125.0,149.0,146.0,149.0,155.0,131.0,117.0,108.0,102.0,112.0,124.0,121.0,121.0,121.0
